"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arhgef39",-3.60609672467058,7.94068271885463,-8.47327485126406,5.36384536523737e-07,5.95357915654714e-05,6.49443648573446
"Gp9",-4.19410594353252,9.74579295940169,-8.46804970060063,5.40442031780268e-07,5.95357915654714e-05,6.48750505365322
"Rcn1",4.5731656908969,10.0392977340576,8.44544537563507,5.58372138788708e-07,5.99412139020039e-05,6.45747594690237
"Thbs2",7.3242552873298,9.56433661200153,8.4413656543309,5.61674625143228e-07,5.99412139020039e-05,6.45204866917324
"Postn",8.84788635856141,12.0345170924793,8.42422357028657,5.75778042684913e-07,6.02524533341693e-05,6.42921935026949
"Mest",6.82698314045008,7.01629974938329,8.41652339250863,5.8223454173575e-07,6.02524533341693e-05,6.41895127077233
"Dna2",-3.72241663419027,8.12615059957617,-8.39643486980194,5.99441069839411e-07,6.11072015970623e-05,6.39212489834015
"Twist1",5.26939296063149,8.78670639846791,8.37683298761436,6.16749109894098e-07,6.12056754572221e-05,6.36589450216957
"Crtap",3.80345315930509,10.8098129879747,8.36762491709027,6.25061077064662e-07,6.12056754572221e-05,6.35355425558051
"Col27a1",4.32894330079461,9.32764141189544,8.3651766174921,6.27290963690417e-07,6.12056754572221e-05,6.3502711717636
"Mfsd2b",-4.80783600598239,9.44833376693843,-8.32577366340981,6.6435781466744e-07,6.39093503405438e-05,6.2973185086046
"Peg3",6.45935195517448,8.79812942681287,8.27035230050189,7.20454719308132e-07,6.83431351788131e-05,6.22247252443548
"Flrt2",4.94398729520921,9.53517872325805,8.25596857425594,7.35816480165716e-07,6.88441994456416e-05,6.20297717945894
"Cnr2",-4.3332915629056,7.72069298781418,-8.24074025633743,7.52457680534174e-07,6.94498102438974e-05,6.18230545527209
"Plod2",5.66804225034527,9.90841492775273,8.19331054328532,8.06882037188214e-07,7.24763327954088e-05,6.11771285004129
"Car12",7.41600389711708,7.7389808222446,8.18935844763612,8.11600750511211e-07,7.24763327954088e-05,6.11231634148707
"Serpinh1",5.70757506951201,12.276648012395,8.17677055641685,8.2682549840573e-07,7.24763327954088e-05,6.09511312521668
"Igk",-11.0368980536879,8.74811125613442,-8.17419865432774,8.29973067781629e-07,7.24763327954088e-05,6.09159548613033
"Ssc5d",4.3225317718184,8.31637914242008,8.16037641683634,8.47107105754523e-07,7.24763327954088e-05,6.07267452955705
"Mmp14",6.33019362746221,8.60904546740066,8.15893320179487,8.48917514441099e-07,7.24763327954088e-05,6.07069738580363
"Cav1",4.98068525840009,11.8163474930563,8.148979782037,8.61515072089814e-07,7.26438017576967e-05,6.05705359025884
"Clec7a",-3.94029508423765,11.5258686561128,-8.06982423206787,9.6900181940629e-07,8.07107612993288e-05,5.94804932775988
"Hoxa10",4.19330235176569,8.37797341180666,8.05241252752988,9.94491367544184e-07,8.12317330820144e-05,5.92395214710881
"Spin4",4.74665655357649,7.72511711344116,8.04935274538394,9.99043276557717e-07,8.12317330820144e-05,5.91971304501631
"Arsj",7.39393170382936,5.57881844423511,8.03845340472458,1.01543717170117e-06,8.12778950977512e-05,5.90460194122597
"Rasgrp2",-3.93861107204909,10.0928276606953,-8.02797376388332,1.03146756290178e-06,8.12778950977512e-05,5.89005669751154
"Cited4",-5.14055678849796,7.20901005466097,-8.02548644284071,1.03531140168439e-06,8.12778950977512e-05,5.88660210604477
