"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Il13ra2",2.86332258982581,5.10688112019013,4.27554382750214,0.000396789320456964,0.017183817446434,0.200012359750676
"Anapc15",2.46128699562764,7.69087144218012,4.2754177778837,0.000396904155712987,0.017183817446434,0.19974864050322
"Zdhhc13",2.70461641630543,6.98274088414707,4.27289503319661,0.000399209498350167,0.017183817446434,0.194470484191984
"Pcdhb13",2.1051573990882,4.89865520331253,4.2725390208297,0.000399535913119313,0.017183817446434,0.193725609189082
"Rae1",2.22753959659243,5.20787365252424,4.26903163831414,0.000402766085774702,0.017183817446434,0.186386997429482
"Abr",2.53790704598974,7.24587210611802,4.26486200519899,0.000406640350961035,0.017183817446434,0.177662244870542
"Ccl20",2.58274388399182,6.33071784163469,4.26451165479755,0.000406967584820945,0.017183817446434,0.176929129783149
"Coil",2.29971145108136,5.15171536480015,4.26384674182309,0.000407589354270983,0.017183817446434,0.175537776152678
"Olfr402",2.4685945989599,4.97925158045517,4.26243667401657,0.000408911090663394,0.017183817446434,0.172587115991997
"Gm5589",3.24027153985175,6.3891007772248,4.26066254785321,0.00041058020310902,0.017183817446434,0.168874555128088
"Kng1",2.97233302683815,6.03438999873446,4.25930972587574,0.000411857550537988,0.017183817446434,0.166043558336966
"Camk1g",2.10005258388925,4.87147653167534,4.25721566242843,0.00041384266814736,0.017183817446434,0.161661288499869
"Itgb3bp",2.37322498634962,5.35883237454225,4.25712268713005,0.000413931028984369,0.017183817446434,0.161466715075868
"Stap2",2.13512206753712,6.44115054726511,4.25707614503391,0.00041397526827063,0.017183817446434,0.161369314325382
"Mrps31",2.65477278654299,6.73527721528483,4.25649170410719,0.000414531196983218,0.017183817446434,0.160146222964925
"Banf1",2.16631063683449,7.53678100467553,4.25592917959554,0.000415066987281695,0.017183817446434,0.158968987868024
"Csf2rb",2.7879021707643,6.88237432392262,4.25237856124804,0.000418464962810329,0.017183817446434,0.1515381444724
"Uxt",3.59227125110747,8.1904656503129,4.25091097653228,0.000419877610029686,0.017183817446434,0.148466632178576
"Vcpkmt",2.38373837270383,7.07683436518011,4.2472408870178,0.0004234313316608,0.017183817446434,0.140785223812527
"Cep128",2.70294764234749,6.12652710349266,4.24397241655918,0.000426621611155446,0.017183817446434,0.133944076857436
"Saa3",5.08283870233605,9.15126392704731,4.24170659272306,0.000428847397947938,0.017183817446434,0.129201369285813
"Glra4",2.17157679333222,4.88327028186542,4.24084359586417,0.000429698211401487,0.017183817446434,0.127394951116451
"Sele",2.49880575446265,6.91740978940496,4.24071934246141,0.000429820850274494,0.017183817446434,0.127134863213091
"Syn3",2.12721235905379,5.65204364179715,4.24010257207288,0.000430430127296281,0.017183817446434,0.125843829858923
"Ccl8",3.25864467538715,7.69485794216314,4.23988155431752,0.000430648671001493,0.017183817446434,0.125381189554334
"2410015M20Rik",2.97449407044756,8.50551914628054,4.23203097652971,0.00043848412101059,0.017183817446434,0.108947303064843
"Eaf2",2.07819347960851,5.19793363099199,4.22752766373127,0.000443043247482343,0.017183817446434,0.0995196346609237
"Tmem50b",2.60074634920706,8.08285235801921,4.22619730646538,0.00044439918435914,0.017183817446434,0.0967344375221781
"Etohi1",2.61831012693015,8.83202344303301,4.22562547441548,0.000444983291844413,0.017183817446434,0.0955372528814857
"Tlr2",2.62091324649109,7.97199781147261,4.22431952014511,0.000446320174764925,0.017183817446434,0.0928030828988486
"Adgra2",2.26771868961047,6.86148662344608,4.22423653608371,0.00044640526034151,0.017183817446434,0.0926293444908044
"Lias",2.12992396734926,6.78905030079766,4.22306054574391,0.000447612785070577,0.017183817446434,0.0901672304566068
"Clec12b",2.24651084690214,5.2714784108258,4.22157119865349,0.000449146779919503,0.017183817446434,0.0870490072838308
"Olfr1323",2.41714702308842,4.23603547894476,4.22156792248722,0.00044915016011376,0.017183817446434,0.0870421479643042
"Ccr3",2.25097710674196,6.39113721656114,4.21110319854693,0.000460078631096322,0.017183817446434,0.0651307979394717
"Arg1",2.26169811634568,6.45282320403061,4.20790892228352,0.000463467373386006,0.017183817446434,0.0584420127389258
"Ccs",2.08442663782986,6.3446519790855,4.20617107288189,0.000465321539719784,0.017183817446434,0.0548028738368265
"Lypd4",2.155656779059,4.84232492989135,4.20615769318988,0.00046533584379528,0.017183817446434,0.0547748558626129
"Fgr",2.56041743809432,6.60865696588919,4.20542710484073,0.000466117578183403,0.017183817446434,0.0532449486244015
"Serpinb6b",2.3448544803342,5.76896175814769,4.20372467354071,0.000467944312087528,0.017183817446434,0.0496798822237281
"Chek1",2.2809967007617,5.8170206066303,4.19885747934299,0.000473206638728638,0.017183817446434,0.0394871223373681
"Snord104",2.62303751701005,10.388714280745,4.19585866197212,0.000476478452127767,0.017183817446434,0.0332068155496472
"Kif24",2.27470344919761,5.28531722805251,4.19335956026411,0.000479222403931082,0.017183817446434,0.0279728977605078
"Palb2",2.12465339746537,5.06097034754055,4.19236532432406,0.000480318456848581,0.017183817446434,0.0258906134717103
"Dusp19",2.16856993397177,5.87973799995727,4.19130113600264,0.000481494414651352,0.017183817446434,0.0236618012176297
"Slfn8",2.95599051448694,6.14829721839497,4.18715672653464,0.000486101716310279,0.017183817446434,0.0149816213273732
"Atp6v1b2",2.47370691294171,7.99387997999091,4.18713233498052,0.000486128962770571,0.017183817446434,0.0149305338686183
"Olfr714",2.36674015862304,5.19352293170902,4.1854634377432,0.000487996841522487,0.017183817446434,0.0114350449058245
"Olfr1426",2.34795827571618,4.36296607090733,4.18542241634276,0.000488042844487794,0.017183817446434,0.0113491252843856
"Snord35b",2.52200226351608,5.37998718258415,4.18062588423873,0.000493451982505962,0.017183817446434,0.00130252612088722
"Tada1",2.47051217276805,6.56789756689578,4.17924858480601,0.000495016280411301,0.017183817446434,-0.00158238526160748
"Fam217a",2.16043347086749,5.23170873237627,4.17906649963335,0.000495223459806664,0.017183817446434,-0.00196378621461424
"Mctp2",2.34795810763187,5.34724042481203,4.17608585628433,0.00049862728274688,0.017183817446434,-0.00820721828338122
"A630052K13Rik",2.15667084425688,5.81885420618216,4.17573397597805,0.000499030668173347,0.017183817446434,-0.00894429857995949
"Aunip",2.3431713122562,7.3277621531408,4.17489430902212,0.000499994561898767,0.017183817446434,-0.0107031501495127
"Dpy19l2",2.22218359687742,4.94999060073121,4.17372507411512,0.000501339895798681,0.017183817446434,-0.0131523698018121
"Slc7a2",2.33694606020501,6.79141275860168,4.17190930077031,0.000503436348911829,0.017183817446434,-0.016955955833974
"Olfr1107",2.3988338871222,4.4285165288854,4.17041990584925,0.000505162539006477,0.017183817446434,-0.0200759059946813
"Hddc2",2.21328120577349,6.71941860035202,4.1692702255033,0.00050649906523144,0.017183817446434,-0.0224842569517909
"Gjc2",2.15456607503272,6.31613212801663,4.16830242895899,0.000507626898432813,0.017183817446434,-0.0245116157411172
"Birc3",2.69348741879973,7.1097773663519,4.16779099629842,0.000508223919995347,0.017183817446434,-0.0255829813419748
"A630001O12Rik",2.20628401224706,5.1219596709076,4.1653171273033,0.000511121756419033,0.017183817446434,-0.0307653859120673
"Cd80",2.33735304873077,5.82049731192199,4.16455784497495,0.000512014484249362,0.017183817446434,-0.0323559957878885
"Ctps",2.88976005515979,7.23471413493073,4.16418401366559,0.0005124545918416,0.017183817446434,-0.0331391333521349
"6330549D23Rik",2.35659097670166,5.41439531025812,4.16193466758168,0.00051511074784336,0.017183817446434,-0.0378513283861652
"Rnf144b",2.00017260647911,6.03265896243231,4.1618788176529,0.000515176874081647,0.017183817446434,-0.0379683304725509
"D6Ertd474e",2.46407842165418,5.51210953133281,4.15991259732067,0.000517510312431673,0.017183817446434,-0.0420874712870685
"Kcnrg",2.17950961564526,7.25761547795715,4.15638566928736,0.000521722544434786,0.017183817446434,-0.0494763807645819
"Slc37a2",2.38938996289573,6.85180512341638,4.15593282636561,0.000522265863473474,0.017183817446434,-0.0504251005368221
"Ppp1r11",2.94335623953515,7.89924141934752,4.15559145897164,0.000522675809851395,0.017183817446434,-0.0511402778174244
"Lilrb4a",2.9945793528877,8.36974369840187,4.15353031533164,0.000525157894960109,0.017183817446434,-0.0554584886856109
"Mmp10",2.243464066149,6.16353505805902,4.15263736523816,0.000526236877534361,0.017183817446434,-0.0573292894636621
"Fgf17",2.32878816696135,6.18276433019568,4.14661958946305,0.000533566588209783,0.017183817446434,-0.0699373189065273
"Cdk4",2.74253930673,8.02576626571681,4.14551068268118,0.000534928379909334,0.017183817446434,-0.072260682486486
"H2-Aa",3.12691627646979,8.35233622985087,4.1436000711874,0.000537282887028353,0.017183817446434,-0.0762638062986518
