"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cilp2",-4.82516788972566,11.5080873059221,-3.11909925591747,0.00573663535685529,0.118900031565637,-2.12423607738821
"Cks2",4.2401269437093,6.01081034250883,3.11806162188663,0.00574985305109629,0.118900031565637,-2.12610529680334
"Ankrd40",-3.99535109739069,5.73563574878779,-3.11765722670526,0.00575501238729117,0.118900031565637,-2.12683375029978
"Sox3",3.61385948150375,5.4137831948429,3.11102571095322,0.00584026425893872,0.119411244508279,-2.13877664139917
"Crlf1",5.13748396084683,7.2508821960571,3.10729842533646,0.00588871911937583,0.119411244508279,-2.14548694541117
"Psat1",-5.01035418257996,6.72977460407573,-3.10431507167444,0.00592778462421409,0.119411244508279,-2.15085674477314
"Zbtb20",-4.02164438295941,7.49281002681264,-3.10328624516662,0.00594131499513803,0.119411244508279,-2.15270830412717
"Bmp4",-3.10903511834278,7.08748410431365,-3.09885816231147,0.00599989378835738,0.119411244508279,-2.160675988643
"Aldh1a3",-4.76595238506419,6.72796245230668,-3.09869563676263,0.00600205448660914,0.119411244508279,-2.16096838451
"Pla2g7",4.69740602332111,5.1787878009621,3.06224877075046,0.00650620587394485,0.128647248660885,-2.22645644994277
"Cyp4b1",-3.14492441129808,8.05527003488756,-3.05489233414061,0.00661284344831456,0.12995850264584,-2.23965403883609
"Chil3",4.88786061691664,6.17295735257941,3.04370901972463,0.00677821356604105,0.132207668860368,-2.2597034529064
"Fxyd1",-3.82220760686764,8.65925737853008,-3.03805738721641,0.00686330567260388,0.132207668860368,-2.26982931783974
"Epb41l4a",-3.25968905984683,6.04064034738006,-3.03803347347213,0.00686366791609877,0.132207668860368,-2.26987215422296
"Atp1a2",-3.65360099961564,5.7589104362712,-3.03620826251966,0.00689137088691958,0.132207668860368,-2.27314140200702
"Cdca3",3.68265165736764,5.51734308970844,3.02147641093981,0.00711897697830542,0.135764013447712,-2.29951180051398
"G0s2",-3.0184018687131,6.48571981282978,-3.01752641919525,0.00718123316282143,0.135764013447712,-2.3065772654695
"Cebpd",-5.61764532724656,8.08264548305151,-3.01614582590455,0.00720311706470949,0.135764013447712,-2.30904625574493
"Selenbp1",-4.19782415689918,6.7067959271067,-2.99953403216433,0.00747155324035724,0.139409654008952,-2.33873276181797
"Fcgr1",3.75562052460838,6.11809002245268,2.99883555418526,0.00748304999799833,0.139409654008952,-2.33998012384996
"Rgs2",4.6342550507934,6.52876702186564,2.96831488370327,0.00800248561868666,0.147830708760024,-2.39441435650973
"Plin2",4.07080017582422,8.58935833664999,2.96693369421907,0.00802679926559236,0.147830708760024,-2.39687441721028
"Acss1",-3.93660223601119,6.9470383563911,-2.96075469299956,0.00813644829592414,0.148998709419111,-2.40787635054467
"Hoxa4",3.26787909258754,3.66123085465821,2.94732858937671,0.00837971468681457,0.152309232229346,-2.43176152602374
"Rnf149",5.21882136543528,6.9134576895515,2.94558912370955,0.0084117416496505,0.152309232229346,-2.43485397632452
"Fbln2",5.3418728851893,9.699203715298,2.94273765709178,0.00846449872241992,0.152408264705919,-2.43992231923979
"Car2",4.75306423051508,5.38440504512425,2.9360418630004,0.00858964204808406,0.153802312894305,-2.45181865373949
"Tmem131",-3.33828865125431,6.81743340990948,-2.92264401585152,0.00884543145001114,0.157507323554618,-2.4756006446786
"Cat",-5.49651840783059,4.75503488920136,-2.92006535804411,0.00889549940815907,0.157528541717015,-2.48017454250122
"Pi4ka",-3.40713317142615,6.91985472577453,-2.91700656966065,0.00895524434525227,0.157719959151629,-2.48559864528987
"Sema3c",-4.18629970200828,5.05498743774407,-2.89880619392651,0.00931882207716271,0.163231323666823,-2.51784066676479
"Dhrs7",-3.82563281419779,8.15832721443493,-2.88995957781035,0.00950064494625386,0.165084231960806,-2.53349210729902
"Ndn",-5.53015628351569,7.4192080969456,-2.88868864690164,0.0095270453443096,0.165084231960806,-2.53573952884546
"Tlr6",2.99284809410606,4.95013266993945,2.88144172140941,0.00967893765098307,0.166819337161061,-2.54854908557979
"Art3",-6.9334359131522,6.45128003848653,-2.86667428683322,0.00999570609045392,0.171362557071984,-2.57462312466368
"Nr1h3",-4.02691837268786,6.34221648088535,-2.86281940100358,0.010080023401974,0.171893732405091,-2.58142307247606
"S100a6",-3.90319728176406,11.9210506835538,-2.85747709941844,0.0101980067045675,0.172143650537183,-2.59084235483393
"Tmem246",-2.43994467232892,5.45636599581451,-2.85731979182889,0.0102015008540496,0.172143650537183,-2.59111963327902
"Pparg",-5.95737650054252,4.40735540992357,-2.85422666712195,0.0102704403528476,0.172317715292521,-2.59657081745254
"Rtn1",-4.83154382369335,4.81169871849133,-2.85133373911726,0.0103353231563213,0.172317715292521,-2.60166760066027
"Kdr",3.00582248238048,7.23891161790632,2.84969678808381,0.0103722112214549,0.172317715292521,-2.60455091332638
"Selp",2.84974158030598,7.24053658748662,2.84301335550544,0.0105241373345752,0.173945100663261,-2.61631792786261
"Mfap4",4.32076460050263,5.68292362363841,2.83765356122194,0.0106475178589443,0.174652419721796,-2.62574851701942
"Il7r",2.61779086397656,4.03852226840749,2.83645444151896,0.0106753107927998,0.174652419721796,-2.62785763991293
"Fdps",-4.58598404730862,7.83096807387249,-2.83038682869596,0.010817016450791,0.176076990004542,-2.63852577325854
"Pepd",-5.07934842008643,7.81881459646145,-2.8249225221689,0.0109461767968114,0.177284059377503,-2.64812720564299
"Tnxb",-7.43010963841626,9.32991981133285,-2.81877532954278,0.0110932483325713,0.178639954235384,-2.65892173905153
"Arpc1a",-3.22361997648114,6.06074080065334,-2.8148758301342,0.0111875249781414,0.178639954235384,-2.66576553450053
"Myt1l",4.4919283659518,8.57168126540549,2.81451964237951,0.0111961746061271,0.178639954235384,-2.66639051349164
"Pex2",-3.98622705828299,5.95657480246408,-2.80865796325038,0.0113394440064167,0.180014035967007,-2.67667207536058
"Marcks",6.58241991517565,7.09148932155967,2.80644451963134,0.0113940004149145,0.180014035967007,-2.6805527807266
