"","D01.CEL","D02.CEL","D03.CEL","D04.CEL","D11.CEL","D12.CEL","D31.CEL","D32.CEL","D33.CEL","D71.CEL","D72.CEL","D73.CEL","D74.CEL","D121.CELL","D122.CEL","D123.CEL","D181.CEL","D182.CEL","D183.CEL","Symbol"
"100033_at",5.72972331718828,6.0161740787409,6.27580688567421,6.27685228006891,6.07868387220992,6.23880252937391,5.87082439748387,5.91223591076128,6.23656905178023,5.8463811936863,6.18646117502888,6.19892220343733,6.01318346473719,5.92978408684141,6.09899499746195,6.06115027783095,6.09027297167959,5.9413469894041,6.18129518577298,"Msh2"
"100034_at",3.6662078932667,3.45046964782675,3.51554048451829,3.21129112238219,3.07958553186604,3.13086206972065,3.5131370731884,3.35238881620245,3.41621013991072,3.36565292825462,3.32197210489588,3.28755465360543,3.4948509551381,3.28791412947745,3.33822313067077,3.36246161766462,3.53653486822591,3.50723534887057,3.40813059033036,"Serpinb5"
"100035_at",2.85144346744748,2.59678931871481,2.64715930688712,2.83706384209156,2.89746324503414,2.64937490422689,2.86660280294746,2.56198454832624,2.69509315836187,2.77550317833345,2.69512188254945,2.50568715846081,2.64105585431815,2.57607902991198,2.85628353577961,2.74438770127331,2.77645477251987,2.84120571244905,2.5677030361351,"Npr1"
"100037_at",4.07348548183124,3.40223406522942,3.95745374473016,3.7353377405806,3.88666646450752,3.40648064398753,3.94262807385987,3.7139450623397,3.80863555856787,3.73963317016077,3.56162070589102,3.60570432100784,3.76949116363804,3.44369369677096,3.75189740118137,3.78341968330561,3.61258373637621,3.70702498307414,3.85392632718573,"Ddx18"
"100039_at",8.53213672595352,8.65929003469391,8.30796418627341,8.36968738988131,8.56320237013655,8.85107193889626,8.70439236832911,8.58857770363929,8.50496793400118,8.32131863538714,8.94965745413752,8.59147459359862,8.05447985351586,8.88221894784899,8.61886140078731,8.62092015879744,8.51897053135523,8.60276433127759,7.77334310240277,"Cnpy2"
"100040_at",6.07815911546536,6.17466595169472,5.76135491100302,5.74721927435258,5.99014660616036,6.29788989484503,6.54207912249138,6.31164843995221,5.94733790488017,6.27849421979178,6.46281725727317,6.11171265840597,5.85907557405312,6.08235781524689,5.84931528625407,5.6028857517603,5.70049737642995,5.43084980400329,5.42799479079607,"Mrpl17"
"100041_at",9.56323589986438,9.88484024141446,9.06433340001474,9.43879419295206,9.7171425185053,9.90043941927153,9.72884522215577,9.52734176011556,9.21438955802055,9.89823759912612,9.59761748804034,9.44047412802022,9.07503471349899,10.0733747689638,9.49382756052974,9.4093031246404,9.6693046303461,9.57268550136891,9.24215593207385,"Slc25a39"
"100042_at",7.44666073686651,7.24148117906477,6.99351819350178,7.1227375636877,7.09690175780521,7.02440019030338,6.77650131297563,6.45248013921915,6.44332178687097,6.77715886065717,6.70077712232232,6.54572952508107,5.9126583164088,7.10665113973028,6.37411495396357,6.59232460404001,6.87040595557409,7.00438961740776,6.16137315162789,"Hagh"
"100043_f_at",6.31707635043077,5.4293077866011,6.27691632429635,6.03675905704304,6.19876470535347,5.50356035809028,6.13284957569978,5.87595861090653,5.87049308532271,6.13273993825473,5.52773157415761,5.8875908131075,6.10168570485305,5.61040233448601,5.86537650718506,5.55986301231207,5.61426711323516,5.6510471006392,5.91522795581441,"Psapl1"
"100044_at",3.50968976401504,3.27011908322113,3.37842810803347,3.46460854547537,3.46722513377459,3.1041785247481,3.44177008604353,3.46616857889693,3.56950509175236,3.65879069955422,3.36620930973782,3.55850434792729,3.85358591232102,3.36807803442921,3.60320805046689,3.73763067650514,3.56329024970726,3.5223551404264,3.76931457275105,"Cldn11"
